date_time|object|count
2019-12-15-16:14|car|0.229167
2019-12-15-16:14|person|0.010417
2019-12-15-16:15|car|0.135338
2019-12-15-16:15|person|0.150376
2019-12-15-16:16|person|0.179856
2019-12-15-16:16|car|0.316547
2019-12-15-16:17|car|0.042857
2019-12-15-16:17|truck|0.042857
2019-12-15-16:17|person|0.085714
2019-12-15-16:18|car|0.141844
2019-12-15-16:18|person|0.028369
2019-12-15-16:18|truck|0.007092
2019-12-15-16:19|car|0.08209
2019-12-15-16:19|person|0.365672
2019-12-15-16:20|person|0.164286
2019-12-15-16:20|car|0.014286
2019-12-15-16:21|car|0.097902
2019-12-15-16:21|person|0.097902
2019-12-15-16:22|car|0.055944
2019-12-15-16:22|skateboard|0.006993
2019-12-15-16:23|person|0.041667
2019-12-15-16:23|car|0.125
2019-12-15-16:24|car|0.304965
2019-12-15-16:24|person|0.007092
2019-12-15-16:24|truck|0.014184
2019-12-15-16:24|bicycle|0.007092
2019-12-15-16:25|car|0.083333
2019-12-15-16:25|bicycle|0.013889
2019-12-15-16:25|person|0.006944
2019-12-15-16:26|person|0.116788
2019-12-15-16:26|car|0.058394
2019-12-15-16:27|car|0.1
2019-12-15-16:27|backpack|0.007143
2019-12-15-16:28|person|0.129496
2019-12-15-16:28|car|0.510791
2019-12-15-16:28|truck|0.007194
2019-12-15-16:29|car|0.106383
2019-12-15-16:30|car|0.114286
2019-12-15-16:30|person|0.085714
2019-12-15-16:30|truck|0.014286
2019-12-15-16:31|bicycle|0.034722
2019-12-15-16:31|person|0.104167
2019-12-15-16:31|bus|0.006944
2019-12-15-16:31|truck|0.013889
2019-12-15-16:31|car|0.069444
2019-12-15-16:32|person|0.021429
2019-12-15-16:32|bicycle|0.007143
2019-12-15-16:32|car|0.021429
2019-12-15-16:33|car|0.221429
2019-12-15-16:33|truck|0.021429
2019-12-15-16:33|person|0.007143
2019-12-15-16:34|car|0.028571
2019-12-15-16:34|person|0.014286
2019-12-15-16:35|car|0.112676
2019-12-15-16:36|car|0.382353
2019-12-15-16:37|car|1.057143
2019-12-15-16:37|person|0.128571
2019-12-15-16:37|truck|0.007143
2019-12-15-16:38|car|1.074074
2019-12-15-16:38|person|0.162963
2019-12-15-16:39|car|0.687943
2019-12-15-16:39|person|0.177305
2019-12-15-16:39|bus|0.007092
2019-12-15-16:40|car|0.971831
2019-12-15-16:40|person|0.485915
2019-12-15-16:40|skateboard|0.007042
2019-12-15-16:40|truck|0.007042
2019-12-15-16:41|car|0.852713
2019-12-15-16:41|person|0.372093
2019-12-15-16:42|car|1.0
2019-12-15-16:42|person|0.118881
2019-12-15-16:43|car|0.97931
2019-12-15-16:43|person|0.17931
2019-12-15-16:43|bicycle|0.006897
2019-12-15-16:44|car|0.870504
2019-12-15-16:44|person|0.071942
2019-12-15-16:44|truck|0.007194
2019-12-15-16:45|car|1.125
2019-12-15-16:45|person|0.277778
2019-12-15-16:46|car|0.957265
2019-12-15-16:46|bicycle|0.008547
2019-12-15-16:46|person|0.051282
2019-12-15-16:47|car|1.267176
2019-12-15-16:47|person|0.282443
2019-12-15-16:47|backpack|0.007634
2019-12-15-16:48|car|0.827586
2019-12-15-16:48|person|0.12069
2019-12-15-16:49|car|0.74
2019-12-15-16:49|person|0.4
2019-12-15-16:49|bird|0.02
2019-12-15-18:19|car|2.696296
2019-12-15-18:19|person|0.037037
2019-12-15-18:20|car|3.213793
2019-12-15-18:20|person|0.131034
2019-12-15-18:20|truck|0.013793
2019-12-15-18:20|bicycle|0.013793
2019-12-15-18:21|car|2.904762
2019-12-15-18:21|person|0.605442
2019-12-15-18:21|motorcycle|0.013605
2019-12-15-18:21|bicycle|0.006803
2019-12-15-18:22|car|2.286713
2019-12-15-18:22|bicycle|0.006993
2019-12-15-18:22|person|0.307692
2019-12-15-18:22|truck|0.097902
2019-12-15-18:22|backpack|0.006993
2019-12-15-18:23|car|2.921986
2019-12-15-18:23|bicycle|0.021277
2019-12-15-18:23|truck|0.007092
2019-12-15-18:23|person|0.035461
2019-12-15-18:24|car|3.827338
2019-12-15-18:24|person|0.079137
2019-12-15-18:25|car|4.248227
2019-12-15-18:25|person|0.156028
2019-12-15-18:26|car|3.387324
2019-12-15-18:26|person|0.380282
2019-12-15-18:27|car|3.357143
2019-12-15-18:28|car|2.826389
2019-12-15-18:28|person|0.354167
2019-12-15-18:28|truck|0.006944
2019-12-15-18:29|car|2.262069
2019-12-15-18:29|person|0.310345
2019-12-15-18:29|bicycle|0.006897
2019-12-15-18:29|truck|0.013793
2019-12-15-18:30|car|2.177305
2019-12-15-18:30|person|0.099291
2019-12-15-18:30|truck|0.007092
